tpma_code,tpma_name,tpma_subtype,tpma_variable,activity_type,tpma_type,tpma_mechanism,active_from,active_to
IP-AA-024,Medicines Related Admissions,Implicit - Diuretics,medicines_related_admissions_implicit_diurectics,IP,Activity avoidance,Prevention,v0.6.0,NA
IP-AA-025,Medicines Related Admissions,Implicit - NSAIDs,medicines_related_admissions_implicit_nsaids,IP,Activity avoidance,Prevention,v0.6.0,NA
IP-AA-026,Obesity Related Admissions,NA,obesity_related_admissions,IP,Activity avoidance,Prevention,v0.6.0,NA
IP-AA-027,Mental Health Admissions via A&E,NA,raid_ae,IP,Activity avoidance,Redirection/Substitution,v0.6.0,NA
IP-AA-028,Emergency Readmissions Within 28 Days,NA,readmission_within_28_days,IP,Activity avoidance,Redirection/Substitution,v0.6.0,NA
IP-AA-029,Smoking Related Admissions,NA,smoking,IP,Activity avoidance,Prevention,v0.6.0,NA
IP-AA-030,Admissions Amenable to Home-Based Management,Acute Respiratory Infection,virtual_wards_activity_avoidance_ari,IP,Activity avoidance,Redirection/Substitution,v1.1.0,NA
IP-AA-031,Admissions Amenable to Home-Based Management,Heart Failure,virtual_wards_activity_avoidance_heart_failure,IP,Activity avoidance,Redirection/Substitution,v1.1.0,NA
IP-AA-032,Short Stay Admissions with No Procedure,Adults,zero_los_no_procedure_adult,IP,Activity avoidance,Redirection/Substitution,v0.6.0,NA
IP-AA-033,Short Stay Admissions with No Procedure,Children,zero_los_no_procedure_child,IP,Activity avoidance,Redirection/Substitution,v0.6.0,NA
IP-EF-001,Ambulatory Emergency Care,High Potential,ambulatory_emergency_care_high,IP,Efficiencies,Hospital Efficiency,v0.6.0,v3.3.0
IP-EF-002,Ambulatory Emergency Care,Low Potential,ambulatory_emergency_care_low,IP,Efficiencies,Hospital Efficiency,v0.6.0,v3.3.0
IP-EF-003,Ambulatory Emergency Care,Moderate Potential,ambulatory_emergency_care_moderate,IP,Efficiencies,Hospital Efficiency,v0.6.0,v3.3.0
IP-EF-004,Ambulatory Emergency Care,Very High Potential,ambulatory_emergency_care_very_high,IP,Efficiencies,Hospital Efficiency,v0.6.0,v3.3.0
